FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE,DEP_AIRPORT_LAT,DEP_AIRPORT_LON,DEP_AIRPORT_TZOFFSET,ARR_AIRPORT_LAT,ARR_AIRPORT_LON,ARR_AIRPORT_TZOFFSET,EVENT,NOTIFY_TIME
2015-02-12,AS,19930,AS,164,10299,1029904,30299,ANC,10165,1016502,30165,ADK,2015-02-12 23:45:00 UTC,2015-02-12 23:40:00 UTC,-5.0,25.0,2015-02-13 00:05:00 UTC,2015-02-13 02:50:00 UTC,4.0,2015-02-13 03:05:00 UTC,2015-02-13 02:54:00 UTC,-11.0,0.00,,0.00,1192.0,61.17416667,-149.99805556,-32400.0,51.87805556,-176.64611111,-36000.0,arrived,2015-02-13 02:54:00 UTC
2015-02-09,AS,19930,AS,49,10299,1029904,30299,ANC,10170,1017001,30070,ADQ,2015-02-10 00:30:00 UTC,2015-02-10 00:21:00 UTC,-9.0,,,,,2015-02-10 01:26:00 UTC,,,0.00,,,253.0,61.17416667,-149.99805556,-32400.0,57.75,-152.49388889,-32400.0,departed,2015-02-10 00:21:00 UTC
2015-02-09,AS,19930,AS,49,10299,1029904,30299,ANC,10170,1017001,30070,ADQ,2015-02-10 00:30:00 UTC,2015-02-10 00:21:00 UTC,-9.0,8.0,2015-02-10 00:29:00 UTC,,,2015-02-10 01:26:00 UTC,,,0.00,,,253.0,61.17416667,-149.99805556,-32400.0,57.75,-152.49388889,-32400.0,wheelsoff,2015-02-10 00:29:00 UTC
2015-02-09,AS,19930,AS,49,10299,1029904,30299,ANC,10170,1017001,30070,ADQ,2015-02-10 00:30:00 UTC,2015-02-10 00:21:00 UTC,-9.0,8.0,2015-02-10 00:29:00 UTC,2015-02-10 01:16:00 UTC,4.0,2015-02-10 01:26:00 UTC,2015-02-10 01:20:00 UTC,-6.0,0.00,,0.00,253.0,61.17416667,-149.99805556,-32400.0,57.75,-152.49388889,-32400.0,arrived,2015-02-10 01:20:00 UTC
2015-02-11,AS,19930,AS,49,10299,1029904,30299,ANC,10170,1017001,30070,ADQ,2015-02-12 00:30:00 UTC,2015-02-12 00:20:00 UTC,-10.0,,,,,2015-02-12 01:26:00 UTC,,,0.00,,,253.0,61.17416667,-149.99805556,-32400.0,57.75,-152.49388889,-32400.0,departed,2015-02-12 00:20:00 UTC
2015-02-11,AS,19930,AS,49,10299,1029904,30299,ANC,10170,1017001,30070,ADQ,2015-02-12 00:30:00 UTC,2015-02-12 00:20:00 UTC,-10.0,10.0,2015-02-12 00:30:00 UTC,,,2015-02-12 01:26:00 UTC,,,0.00,,,253.0,61.17416667,-149.99805556,-32400.0,57.75,-152.49388889,-32400.0,wheelsoff,2015-02-12 00:30:00 UTC
2015-02-11,AS,19930,AS,49,10299,1029904,30299,ANC,10170,1017001,30070,ADQ,2015-02-12 00:30:00 UTC,2015-02-12 00:20:00 UTC,-10.0,10.0,2015-02-12 00:30:00 UTC,2015-02-12 01:17:00 UTC,2.0,2015-02-12 01:26:00 UTC,2015-02-12 01:19:00 UTC,-7.0,0.00,,0.00,253.0,61.17416667,-149.99805556,-32400.0,57.75,-152.49388889,-32400.0,arrived,2015-02-12 01:19:00 UTC
2015-02-12,AS,19930,AS,49,10299,1029904,30299,ANC,10170,1017001,30070,ADQ,2015-02-13 00:30:00 UTC,2015-02-13 00:27:00 UTC,-3.0,,,,,2015-02-13 01:26:00 UTC,,,0.00,,,253.0,61.17416667,-149.99805556,-32400.0,57.75,-152.49388889,-32400.0,departed,2015-02-13 00:27:00 UTC
2015-02-12,AS,19930,AS,49,10299,1029904,30299,ANC,10170,1017001,30070,ADQ,2015-02-13 00:30:00 UTC,2015-02-13 00:27:00 UTC,-3.0,18.0,2015-02-13 00:45:00 UTC,,,2015-02-13 01:26:00 UTC,,,0.00,,,253.0,61.17416667,-149.99805556,-32400.0,57.75,-152.49388889,-32400.0,wheelsoff,2015-02-13 00:45:00 UTC
2015-02-12,AS,19930,AS,49,10299,1029904,30299,ANC,10170,1017001,30070,ADQ,2015-02-13 00:30:00 UTC,2015-02-13 00:27:00 UTC,-3.0,18.0,2015-02-13 00:45:00 UTC,2015-02-13 01:30:00 UTC,3.0,2015-02-13 01:26:00 UTC,2015-02-13 01:33:00 UTC,7.0,0.00,,0.00,253.0,61.17416667,-149.99805556,-32400.0,57.75,-152.49388889,-32400.0,arrived,2015-02-13 01:33:00 UTC
2015-02-09,AS,19930,AS,41,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-09 15:10:00 UTC,2015-02-09 15:07:00 UTC,-3.0,,,,,2015-02-09 16:33:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,departed,2015-02-09 15:07:00 UTC
2015-02-09,AS,19930,AS,41,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-09 15:10:00 UTC,2015-02-09 15:07:00 UTC,-3.0,9.0,2015-02-09 15:16:00 UTC,,,2015-02-09 16:33:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,wheelsoff,2015-02-09 15:16:00 UTC
2015-02-09,AS,19930,AS,41,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-09 15:10:00 UTC,2015-02-09 15:07:00 UTC,-3.0,9.0,2015-02-09 15:16:00 UTC,2015-02-09 16:15:00 UTC,3.0,2015-02-09 16:33:00 UTC,2015-02-09 16:18:00 UTC,-15.0,0.00,,0.00,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,arrived,2015-02-09 16:18:00 UTC
2015-02-09,AS,19930,AS,43,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-09 20:10:00 UTC,2015-02-09 21:29:00 UTC,79.0,,,,,2015-02-10 21:26:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,departed,2015-02-09 21:29:00 UTC
2015-02-09,AS,19930,AS,43,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-09 20:10:00 UTC,2015-02-09 21:29:00 UTC,79.0,11.0,2015-02-09 21:40:00 UTC,,,2015-02-10 21:26:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,wheelsoff,2015-02-09 21:40:00 UTC
2015-02-09,AS,19930,AS,43,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-09 20:10:00 UTC,2015-02-09 21:29:00 UTC,79.0,11.0,2015-02-09 21:40:00 UTC,2015-02-09 22:40:00 UTC,2.0,2015-02-10 21:26:00 UTC,2015-02-09 22:42:00 UTC,76.0,0.00,,0.00,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,arrived,2015-02-09 22:42:00 UTC
2015-02-09,AS,19930,AS,45,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-10 04:05:00 UTC,2015-02-10 03:57:00 UTC,-8.0,,,,,2015-02-10 05:16:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,departed,2015-02-10 03:57:00 UTC
2015-02-09,AS,19930,AS,45,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-10 04:05:00 UTC,2015-02-10 03:57:00 UTC,-8.0,8.0,2015-02-10 04:05:00 UTC,,,2015-02-10 05:16:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,wheelsoff,2015-02-10 04:05:00 UTC
2015-02-09,AS,19930,AS,45,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-10 04:05:00 UTC,2015-02-10 03:57:00 UTC,-8.0,8.0,2015-02-10 04:05:00 UTC,2015-02-10 05:06:00 UTC,4.0,2015-02-10 05:16:00 UTC,2015-02-10 05:10:00 UTC,-6.0,0.00,,0.00,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,arrived,2015-02-10 05:10:00 UTC
